kernel,shape,seq,channels,repeats,p50_us,gib_per_s_p50
cumdecay,64x160,64,160,30,2.759,27.65
cumdecay,1x160,1,160,30,0.044,27.25
cumdecay,64x2560,64,2560,30,118.227,10.33
cumdecay,1x2560,1,2560,30,0.639,29.86
gated_scan,64x160,64,160,30,4.285,26.99
gated_scan,1x160,1,160,30,0.064,46.44
gated_scan,64x2560,64,2560,30,160.455,11.53
gated_scan,1x2560,1,2560,30,0.989,48.23
dwconv1d,64x160,64,160,30,5.151,15.97
dwconv1d,1x160,1,160,30,0.114,62.88
dwconv1d,64x2560,64,2560,30,132.831,9.91
dwconv1d,1x2560,1,2560,30,2.645,43.26
gemv,K128_N128,0,128,30,3.249,19.08
gemv,K128_N2048,0,2048,30,58.552,16.82
gemv,K128_N2560,0,2560,30,73.981,16.64
