model,ctx_len,gdn_layer_us,full_attn_us,ffn_us,total_us,tok_per_sec,kv_cache_mb
Qwen3.5-4B,1,212967,54376,696008,963350,1.04,0.1
Qwen3.5-4B,64,213094,57945,696352,967390,1.03,4.0
Qwen3.5-4B,256,213104,71008,696692,980804,1.02,16.0
Qwen3.5-4B,512,213483,89612,697265,1000360,1.00,32.0
Qwen3.5-4B,1024,213569,128592,697227,1039388,0.96,64.0
Qwen3.5-4B,2048,213494,204095,697261,1114850,0.90,128.0
Qwen3.5-4B,4096,213273,352497,698442,1264212,0.79,256.0
