model,tokens,ttft_ms,tok_per_sec_mean,p50_us,p95_us,p99_us,mean_us,gdn_proj_pct,gdn_conv_pct,gdn_decay_pct,gdn_scan_pct,gdn_oproj_pct,full_pct,ffn_pct
Qwen3.5-0.8B,8,126.49,7.90,126641,126954,126954,126529,30.7,1.2,0.0,0.0,7.5,7.4,53.1
Qwen3.5-0.8B,8,123.73,8.04,124977,125540,125540,124404,31.2,1.3,0.0,0.0,7.5,7.6,52.3
Qwen3.5-0.8B,8,124.84,7.99,125204,125339,125339,125138,31.1,1.2,0.0,0.0,7.5,7.6,52.5
