model,ctx_len,gdn_layer_us,full_attn_us,ffn_us,total_us,tok_per_sec,kv_cache_mb
Qwen3.5-0.8B,512,66790,0,64996,131786,7.59,0.0
Qwen3.5-0.8B,1024,66864,0,65703,132567,7.54,0.0
Qwen3.5-0.8B,2048,66892,0,66244,133136,7.51,0.0
Qwen3.5-0.8B,4096,66822,0,66233,133054,7.52,0.0
Qwen3.5-0.8B,8192,66728,0,66088,132816,7.53,0.0
