model,ctx_len,gdn_layer_us,full_attn_us,ffn_us,total_us,tok_per_sec,kv_cache_mb
Qwen3.5-0.8B,1,46769,8995,66283,122047,8.19,0.0
Qwen3.5-0.8B,64,46667,9231,66432,122329,8.17,1.5
Qwen3.5-0.8B,256,46760,10093,66358,123211,8.12,6.0
Qwen3.5-0.8B,512,46742,11292,66407,124440,8.04,12.0
Qwen3.5-0.8B,1024,46623,13862,66490,126975,7.88,24.0
Qwen3.5-0.8B,2048,46791,18868,66470,132129,7.57,48.0
Qwen3.5-0.8B,4096,46654,28790,66202,141647,7.06,96.0
