iteration,tok_per_sec,thermal_zone1_C,thermal_zone2_C,elapsed_s
1,1.10,51.7,51.7,33
2,1.09,51.7,51.7,67
3,1.09,51.7,50.8,100
4,1.09,51.7,51.7,133
5,1.09,51.7,50.8,166
6,1.09,51.7,51.7,200
7,1.09,51.7,50.8,233
8,1.09,51.7,51.7,266
9,1.09,51.7,51.7,299
