model,ctx_len,gdn_layer_us,full_attn_us,ffn_us,total_us,tok_per_sec,kv_cache_mb
Qwen3.5-4B,1,70158,18678,211974,300810,3.32,0.1
Qwen3.5-4B,64,69904,20986,211660,302549,3.31,4.0
Qwen3.5-4B,256,69873,29892,211685,311450,3.21,16.0
Qwen3.5-4B,512,69918,42323,211645,323885,3.09,32.0
Qwen3.5-4B,1024,69883,69196,211467,350546,2.85,64.0
Qwen3.5-4B,2048,69818,121733,211649,403200,2.48,128.0
Qwen3.5-4B,4096,69864,225328,211551,506744,1.97,256.0
Qwen3.5-4B,8192,69813,432560,211386,713759,1.40,512.0
