model,prefill_M,ttft_ms,tok_per_sec_prefill,gdn_us,full_us,ffn_us
Qwen3.5-0.8B,8,3284.96,2.44,1211431,315644,1757884
Qwen3.5-0.8B,16,6640.34,2.41,2459963,629849,3550528
Qwen3.5-0.8B,32,13372.20,2.39,4978595,1263057,7130552
Qwen3.5-0.8B,64,27423.19,2.33,10490861,2575208,14357119
