model,tokens,ttft_ms,tok_per_sec_mean,p50_us,p95_us,p99_us,mean_us,gdn_proj_pct,gdn_conv_pct,gdn_decay_pct,gdn_scan_pct,gdn_oproj_pct,full_pct,ffn_pct
Qwen3.5-0.8B,8,444.02,1.98,545197,569073,569073,506090,24.1,2.2,1.8,1.9,9.1,8.3,52.5
Qwen3.5-0.8B,8,489.84,2.02,489011,614072,614072,496189,24.3,2.2,1.7,1.7,9.2,8.2,52.8
Qwen3.5-0.8B,8,473.25,2.17,467571,487549,487549,461840,24.0,1.9,1.7,1.3,9.3,7.9,53.9
