model,ctx_len,gdn_layer_us,full_attn_us,ffn_us,total_us,tok_per_sec,kv_cache_mb
Qwen3.5-0.8B,512,29252,12372,42226,83850,11.93,12.0
Qwen3.5-0.8B,1024,29153,21407,42262,92822,10.77,24.0
Qwen3.5-0.8B,2048,29168,41026,42280,112474,8.89,48.0
Qwen3.5-0.8B,4096,29199,78110,42258,149568,6.69,96.0
Qwen3.5-0.8B,8192,29104,150428,42394,221926,4.51,192.0
