model,kernel,dispatch_path,seq,channels,repeats,p50_us,p95_us,spread_pct,gib_per_s_p50,gflop_per_s_p50
Qwen3.5-4B,gdn_cumdecay,neon,64,4096,30,322.022,336.898,4.6,6.07,0.81
Qwen3.5-4B,gdn_gated_scan,neon,64,4096,30,722.215,773.261,7.1,4.10,0.73
Qwen3.5-4B,gdn_causal_dwconv1d,neon,64,4096,30,359.066,415.361,15.7,5.74,5.84
Qwen3.5-4B,gdn_cumdecay_f16,neon,64,4096,30,229.557,242.100,5.5,6.38,1.14
Qwen3.5-4B,gdn_gated_scan_f16,neon,64,4096,30,709.965,774.428,9.1,4.15,0.74
Qwen3.5-4B,gdn_cumdecay_bf16,neon,64,4096,30,312.979,392.902,25.5,4.68,0.84
Qwen3.5-4B,gdn_gated_scan_bf16,neon,64,4096,30,707.340,770.927,9.0,4.16,0.74
Qwen3.5-4B,gdn2_gated_scan,neon,64,4096,30,1331.548,1405.054,5.5,3.69,0.79
Qwen3.5-0.8B,gdn_cumdecay,neon,64,2048,30,130.676,134.467,2.9,7.47,1.00
Qwen3.5-0.8B,gdn_gated_scan,neon,64,2048,30,219.348,230.433,5.1,6.75,1.20
Qwen3.5-0.8B,gdn_causal_dwconv1d,neon,64,2048,30,154.885,161.303,4.1,6.65,6.77
Qwen3.5-0.8B,gdn_cumdecay_f16,neon,64,2048,30,77.881,82.839,6.4,9.40,1.68
Qwen3.5-0.8B,gdn_gated_scan_f16,neon,64,2048,30,228.974,233.933,2.2,6.43,1.14
Qwen3.5-0.8B,gdn_cumdecay_bf16,neon,64,2048,30,137.093,148.760,8.5,5.34,0.96
Qwen3.5-0.8B,gdn_gated_scan_bf16,neon,64,2048,30,233.057,238.600,2.4,6.32,1.12
Qwen3.5-0.8B,gdn2_gated_scan,neon,64,2048,30,305.104,324.064,6.2,8.05,1.72
Qwen3.5-4B_decode,gdn_cumdecay,neon,1,4096,30,1.458,1.751,20.1,20.93,2.81
Qwen3.5-4B_decode,gdn_gated_scan,neon,1,4096,30,2.042,2.042,0.0,37.36,4.01
Qwen3.5-4B_decode,gdn_causal_dwconv1d,neon,1,4096,30,7.000,7.001,0.0,19.62,4.68
Qwen3.5-4B_decode,gdn_cumdecay_f16,neon,1,4096,30,1.750,1.751,0.1,13.08,2.34
Qwen3.5-4B_decode,gdn_gated_scan_f16,neon,1,4096,30,2.625,2.626,0.0,23.25,3.12
Qwen3.5-4B_decode,gdn_cumdecay_bf16,neon,1,4096,30,2.626,2.917,11.1,8.72,1.56
Qwen3.5-4B_decode,gdn_gated_scan_bf16,neon,1,4096,30,3.792,4.084,7.7,16.10,2.16
Qwen3.5-4B_decode,gdn2_gated_scan,neon,1,4096,30,3.208,3.209,0.0,33.30,5.11
Qwen3.5-0.8B_decode,gdn_cumdecay,neon,1,2048,30,0.875,1.167,33.4,17.44,2.34
Qwen3.5-0.8B_decode,gdn_gated_scan,neon,1,2048,30,1.167,1.167,0.0,32.69,3.51
Qwen3.5-0.8B_decode,gdn_causal_dwconv1d,neon,1,2048,30,2.625,2.917,11.1,26.16,6.24
Qwen3.5-0.8B_decode,gdn_cumdecay_f16,neon,1,2048,30,0.876,1.167,33.2,13.06,2.34
Qwen3.5-0.8B_decode,gdn_gated_scan_f16,neon,1,2048,30,1.459,1.750,19.9,20.92,2.81
Qwen3.5-0.8B_decode,gdn_cumdecay_bf16,neon,1,2048,30,1.459,1.750,20.0,7.84,1.40
Qwen3.5-0.8B_decode,gdn_gated_scan_bf16,neon,1,2048,30,2.042,2.334,14.3,14.95,2.01
Qwen3.5-0.8B_decode,gdn2_gated_scan,neon,1,2048,30,1.750,1.751,0.1,30.52,4.68
