phase,ctx_len,layer_idx,layer_type,p50_us,p95_us,mean_us,n_samples
decode,64,15,full_attention,34721.1,114198.3,56378.3,9
decode,128,15,full_attention,35714.6,150402.3,70729.8,9
prefill,32,15,full_attention,78901.0,81857.8,77697.6,3
prefill,64,15,full_attention,99940.6,105349.6,97874.4,3
prefill,128,15,full_attention,131198.7,158810.5,138300.5,3
decode,32,16,linear_attention,40027.6,214741.8,76606.5,9
decode,64,16,linear_attention,42423.7,171164.4,81317.8,9
decode,128,16,linear_attention,40844.5,234962.2,102784.2,9
prefill,32,16,linear_attention,113963.6,119863.7,114814.9,3
prefill,64,16,linear_attention,162268.8,162652.4,160438.8,3
prefill,128,16,linear_attention,207077.6,225146.3,211033.0,3
decode,32,17,linear_attention,38780.9,127013.8,66865.5,9
decode,64,17,linear_attention,39250.7,168744.0,78342.9,9
decode,128,17,linear_attention,42996.9,224609.5,97014.6,9
prefill,32,17,linear_attention,115782.4,116138.1,113643.1,3
prefill,64,17,linear_attention,142575.5,154625.7,146113.9,3
prefill,128,17,linear_attention,231065.2,238389.5,226406.5,3
decode,32,18,linear_attention,43109.5,137015.2,70005.9,9
decode,64,18,linear_attention,40885.1,174987.0,78902.4,9
decode,128,18,linear_attention,41770.0,231350.1,101821.0,9
prefill,32,18,linear_attention,106632.5,115058.6,108213.1,3
prefill,64,18,linear_attention,147650.3,168134.1,150164.0,3
prefill,128,18,linear_attention,218312.3,223509.9,205115.3,3
decode,32,19,full_attention,37461.5,86433.8,48302.0,9
decode,64,19,full_attention,37646.2,113169.5,59490.1,9
decode,128,19,full_attention,37475.8,133119.5,66048.9,9
prefill,32,19,full_attention,70171.7,77444.1,70150.8,3
prefill,64,19,full_attention,106837.8,110494.2,107491.8,3
prefill,128,19,full_attention,148269.8,159413.4,147602.0,3
decode,32,20,linear_attention,48283.5,139884.5,71534.3,9
decode,64,20,linear_attention,48261.3,160219.4,77442.2,9
decode,128,20,linear_attention,45466.9,222438.5,99552.1,9
prefill,32,20,linear_attention,115395.9,118842.8,112692.2,3
prefill,64,20,linear_attention,149714.5,159608.6,150427.5,3
prefill,128,20,linear_attention,232945.1,236827.5,223869.2,3
decode,32,21,linear_attention,39651.0,129497.3,66851.1,9
decode,64,21,linear_attention,39795.3,160911.9,77115.8,9
decode,128,21,linear_attention,45197.4,255688.9,104991.4,9
prefill,32,21,linear_attention,112699.3,117199.2,111223.8,3
prefill,64,21,linear_attention,144297.9,147965.6,142876.8,3
prefill,128,21,linear_attention,236590.9,240395.1,227741.4,3
decode,32,22,linear_attention,40454.9,142204.6,71152.1,9
decode,64,22,linear_attention,41949.1,176115.6,83898.6,9
