model,ctx_len,gdn_layer_us,full_attn_us,ffn_us,total_us,tok_per_sec,kv_cache_mb
Qwen3.5-4B,1,115510,36924,388933,541367,1.85,0.1
Qwen3.5-4B,64,115656,40576,389441,545672,1.83,4.0
Qwen3.5-4B,256,115773,53621,390517,559911,1.79,16.0
Qwen3.5-4B,1024,115506,110279,389821,615606,1.62,64.0
Qwen3.5-4B,4096,115214,333047,389751,838013,1.19,256.0
