model,ctx_len,gdn_layer_us,full_attn_us,ffn_us,total_us,tok_per_sec,kv_cache_mb
Qwen3.5-0.8B,1,38222,9513,51029,98764,10.13,0.0
Qwen3.5-0.8B,64,38236,10074,50911,99221,10.08,0.4
Qwen3.5-0.8B,256,38152,11718,51033,100904,9.91,1.5
Qwen3.5-0.8B,1024,38200,18533,50857,107590,9.29,6.0
Qwen3.5-0.8B,4096,38195,45079,50960,134234,7.45,24.0
