run_id,timestamp,git_sha,manifest_ref,device,engine_gdn,engine_full_attention,model_checkpoint,quantization,context_length,phase,metric_name,metric_component,value,unit,repeat_index,repeat_count,layer_class,notes
rk3588-t3_little_int8_e2e_9b40e42,2026-08-07T02:35:40Z,9b40e42,results/manifests/rk3588-t3_little_int8_e2e.json,rk3588-t3_little_int8,cpu,cpu,Qwen/Qwen3.5-4B,int8,20,prefill,ttft_seconds,,2.099300,seconds,0,2,all,tokens=20;cluster=little
rk3588-t3_little_int8_e2e_9b40e42,2026-08-07T02:35:40Z,9b40e42,results/manifests/rk3588-t3_little_int8_e2e.json,rk3588-t3_little_int8,cpu,cpu,Qwen/Qwen3.5-4B,int8,20,decode,decode_tokens_per_sec,,0.480000,tokens_per_sec,0,2,all,tokens=20;cluster=little
rk3588-t3_little_int8_e2e_9b40e42,2026-08-07T02:35:40Z,9b40e42,results/manifests/rk3588-t3_little_int8_e2e.json,rk3588-t3_little_int8,cpu,cpu,Qwen/Qwen3.5-4B,int8,20,prefill,ttft_seconds,,2.094950,seconds,1,2,all,tokens=20;cluster=little
rk3588-t3_little_int8_e2e_9b40e42,2026-08-07T02:35:40Z,9b40e42,results/manifests/rk3588-t3_little_int8_e2e.json,rk3588-t3_little_int8,cpu,cpu,Qwen/Qwen3.5-4B,int8,20,decode,decode_tokens_per_sec,,0.480000,tokens_per_sec,1,2,all,tokens=20;cluster=little
