model,ctx_len,gdn_layer_us,full_attn_us,ffn_us,total_us,tok_per_sec,kv_cache_mb
Qwen3.5-0.8B,1,48854,9287,64769,122910,8.14,0.0
Qwen3.5-0.8B,64,48711,9804,65181,123695,8.08,0.4
Qwen3.5-0.8B,256,48735,11447,65302,125483,7.97,1.5
Qwen3.5-0.8B,1024,48770,18202,65222,132194,7.56,6.0
Qwen3.5-0.8B,4096,48736,46562,65307,160604,6.23,24.0
