model,ctx_len,gdn_layer_us,full_attn_us,ffn_us,total_us,tok_per_sec,kv_cache_mb
Qwen3.5-0.8B,1,35442,7620,65037,108098,9.25,0.0
Qwen3.5-0.8B,64,35288,8221,65000,108509,9.22,1.5
Qwen3.5-0.8B,256,35336,10304,65076,110717,9.03,6.0
Qwen3.5-0.8B,512,35315,13102,65052,113469,8.81,12.0
Qwen3.5-0.8B,1024,35239,19285,65169,119693,8.35,24.0
Qwen3.5-0.8B,2048,35295,31126,65117,131538,7.60,48.0
Qwen3.5-0.8B,4096,35304,54616,65070,154989,6.45,96.0
