model,ctx_len,gdn_layer_us,full_attn_us,ffn_us,total_us,tok_per_sec,kv_cache_mb
Qwen3.5-0.8B,512,75362,19362,129597,224321,4.46,12.0
Qwen3.5-0.8B,1024,75252,28126,129313,232691,4.30,24.0
Qwen3.5-0.8B,2048,75317,46641,129797,251756,3.97,48.0
Qwen3.5-0.8B,4096,75456,82685,130015,288156,3.47,96.0
Qwen3.5-0.8B,8192,75348,154176,130394,359917,2.78,192.0
