model,kernel,dispatch_path,seq,channels,repeats,p50_us,p95_us,spread_pct,gib_per_s_p50,gflop_per_s_p50
Qwen3.5-4B,gdn_cumdecay,neon,64,4096,30,90.131,101.799,12.9,21.67,2.91
Qwen3.5-4B,gdn_gated_scan,neon,64,4096,30,259.310,276.519,6.6,11.42,2.02
Qwen3.5-4B,gdn_causal_dwconv1d,neon,64,4096,30,99.465,103.841,4.4,20.71,21.08
Qwen3.5-4B,gdn_cumdecay_f16,neon,64,4096,30,38.503,40.253,4.5,38.04,6.81
Qwen3.5-4B,gdn_gated_scan_f16,neon,64,4096,30,261.935,269.810,3.0,11.24,2.00
Qwen3.5-4B,gdn_cumdecay_bf16,neon,64,4096,30,54.545,54.837,0.5,26.86,4.81
Qwen3.5-4B,gdn_gated_scan_bf16,neon,64,4096,30,264.560,271.852,2.8,11.13,1.98
Qwen3.5-4B,gdn2_gated_scan,neon,64,4096,30,697.715,756.927,8.5,7.04,1.50
Qwen3.5-0.8B,gdn_cumdecay,neon,64,2048,30,38.211,38.503,0.8,25.56,3.43
Qwen3.5-0.8B,gdn_gated_scan,neon,64,2048,30,131.550,134.759,2.4,11.25,1.99
Qwen3.5-0.8B,gdn_causal_dwconv1d,neon,64,2048,30,41.128,44.628,8.5,25.04,25.50
Qwen3.5-0.8B,gdn_cumdecay_f16,neon,64,2048,30,21.876,22.168,1.3,33.48,5.99
Qwen3.5-0.8B,gdn_gated_scan_f16,neon,64,2048,30,133.301,139.135,4.4,11.05,1.97
Qwen3.5-0.8B,gdn_cumdecay_bf16,neon,64,2048,30,32.669,33.252,1.8,22.42,4.01
Qwen3.5-0.8B,gdn_gated_scan_bf16,neon,64,2048,30,129.509,141.468,9.2,11.37,2.02
Qwen3.5-0.8B,gdn2_gated_scan,neon,64,2048,30,321.147,327.565,2.0,7.65,1.63
Qwen3.5-4B_decode,gdn_cumdecay,neon,1,4096,30,1.459,1.750,19.9,20.91,2.81
Qwen3.5-4B_decode,gdn_gated_scan,neon,1,4096,30,1.771,1.794,1.3,43.09,4.63
Qwen3.5-4B_decode,gdn_causal_dwconv1d,neon,1,4096,30,3.675,3.748,2.0,37.37,8.92
Qwen3.5-4B_decode,gdn_cumdecay_f16,neon,1,4096,30,1.639,1.692,3.2,13.96,2.50
Qwen3.5-4B_decode,gdn_gated_scan_f16,neon,1,4096,30,1.820,1.870,2.7,33.53,4.50
Qwen3.5-4B_decode,gdn_cumdecay_bf16,neon,1,4096,30,1.846,1.852,0.3,12.40,2.22
Qwen3.5-4B_decode,gdn_gated_scan_bf16,neon,1,4096,30,2.147,2.191,2.0,28.43,3.82
Qwen3.5-4B_decode,gdn2_gated_scan,neon,1,4096,30,2.263,2.304,1.8,47.19,7.24
Qwen3.5-0.8B_decode,gdn_cumdecay,neon,1,2048,30,1.409,1.412,0.2,10.83,1.45
Qwen3.5-0.8B_decode,gdn_gated_scan,neon,1,2048,30,1.526,1.566,2.7,25.01,2.68
Qwen3.5-0.8B_decode,gdn_causal_dwconv1d,neon,1,2048,30,1.928,2.074,7.6,35.61,8.50
Qwen3.5-0.8B_decode,gdn_cumdecay_f16,neon,1,2048,30,1.458,1.461,0.2,7.85,1.40
Qwen3.5-0.8B_decode,gdn_gated_scan_f16,neon,1,2048,30,1.569,1.616,3.0,19.45,2.61
Qwen3.5-0.8B_decode,gdn_cumdecay_bf16,neon,1,2048,30,1.561,1.563,0.2,7.33,1.31
Qwen3.5-0.8B_decode,gdn_gated_scan_bf16,neon,1,2048,30,1.759,1.806,2.7,17.35,2.33
Qwen3.5-0.8B_decode,gdn2_gated_scan,neon,1,2048,30,1.616,1.645,1.8,33.05,5.07
