step,mse_loss
1,0.018079
2,0.016624
3,0.015241
4,0.013966
5,0.012812
6,0.011790
7,0.010870
8,0.010063
9,0.009333
10,0.008688
11,0.008111
12,0.007595
13,0.007135
14,0.006727
15,0.006363
16,0.006040
17,0.005751
18,0.005494
19,0.005255
20,0.005044
21,0.004850
22,0.004674
23,0.004511
24,0.004361
25,0.004221
26,0.004091
27,0.003968
28,0.003851
29,0.003742
30,0.003638
