model,tokens,ttft_ms,tok_per_sec_mean,p50_us,p95_us,p99_us,mean_us,gdn_proj_pct,gdn_conv_pct,gdn_decay_pct,gdn_scan_pct,gdn_oproj_pct,full_pct,ffn_pct
Qwen3.5-4B,128,645.13,1.54,643700,699131,715079,647495,15.7,0.6,0.0,0.0,7.1,7.1,69.4
Qwen3.5-4B,128,668.90,1.55,643651,707268,742600,646027,15.7,0.6,0.0,0.0,7.3,7.1,69.3
Qwen3.5-4B,128,612.59,1.55,640089,712261,733797,643857,15.5,0.6,0.0,0.0,7.1,7.2,69.5
