model,kernel,dispatch_path,seq,channels,repeats,p50_us,p95_us,spread_pct,gib_per_s_p50,gflop_per_s_p50
Qwen3.5-4B,gdn_cumdecay,neon,64,4096,30,667.190,760.852,14.0,2.93,0.39
Qwen3.5-4B,gdn_gated_scan,neon,64,4096,30,1610.661,1692.950,5.1,1.84,0.33
Qwen3.5-4B,gdn_causal_dwconv1d,neon,64,4096,30,869.645,892.482,2.6,2.37,2.41
Qwen3.5-0.8B,gdn_cumdecay,neon,64,2048,30,216.346,217.865,0.7,4.51,0.61
Qwen3.5-0.8B,gdn_gated_scan,neon,64,2048,30,331.308,335.715,1.3,4.47,0.79
Qwen3.5-0.8B,gdn_causal_dwconv1d,neon,64,2048,30,218.680,222.662,1.8,4.71,4.80
