model,ctx_len,gdn_layer_us,full_attn_us,ffn_us,total_us,tok_per_sec,kv_cache_mb
Qwen3.5-0.8B,1,11654,2513,20562,34729,28.79,0.0
Qwen3.5-0.8B,64,11607,2747,20643,34998,28.57,1.5
Qwen3.5-0.8B,256,11580,3604,20561,35744,27.98,6.0
Qwen3.5-0.8B,512,11591,4785,20578,36953,27.06,12.0
Qwen3.5-0.8B,1024,11595,7286,20568,39450,25.35,24.0
Qwen3.5-0.8B,2048,11603,12211,20591,44405,22.52,48.0
Qwen3.5-0.8B,4096,11580,21987,20593,54160,18.46,96.0
