model,ctx_len,gdn_layer_us,full_attn_us,ffn_us,total_us,tok_per_sec,kv_cache_mb
Qwen3.5-4B,1,278148,0,676996,955144,1.05,0.0
Qwen3.5-4B,64,278277,0,677323,955600,1.05,0.0
Qwen3.5-4B,256,278250,0,677466,955716,1.05,0.0
Qwen3.5-4B,512,278274,0,677284,955558,1.05,0.0
Qwen3.5-4B,1024,278133,0,676940,955073,1.05,0.0
Qwen3.5-4B,2048,278378,0,677488,955866,1.05,0.0
Qwen3.5-4B,4096,278318,0,676864,955182,1.05,0.0
