model,ctx_len,gdn_layer_us,full_attn_us,ffn_us,total_us,tok_per_sec,kv_cache_mb
Qwen3.5-4B,1,410029,131930,1198456,1740416,0.57,0.1
Qwen3.5-4B,64,398075,136463,1173559,1708097,0.59,4.0
Qwen3.5-4B,256,397467,173031,1178456,1748955,0.57,16.0
Qwen3.5-4B,512,399582,213021,1183476,1796080,0.56,32.0
Qwen3.5-4B,1024,400669,300037,1175169,1875876,0.53,64.0
Qwen3.5-4B,2048,403194,472344,1180412,2055950,0.49,128.0
Qwen3.5-4B,4096,403683,813347,1171833,2388863,0.42,256.0
