step,mse_loss
1,0.022836
2,0.021088
3,0.019360
4,0.017781
5,0.016318
6,0.014986
7,0.013796
8,0.012718
9,0.011757
10,0.010899
11,0.010129
12,0.009424
13,0.008796
14,0.008225
15,0.007702
16,0.007229
17,0.006801
18,0.006411
19,0.006056
20,0.005731
21,0.005429
22,0.005156
23,0.004900
24,0.004670
25,0.004452
26,0.004257
27,0.004069
28,0.003897
29,0.003740
30,0.003594
