timestamp_ms,power_in_mw,power_gpu_mw,power_cpu_mw,temp_milliC
23,2164,0,694,52000
150,2780,0,1061,52000
277,2821,0,1061,52000
403,2862,0,1143,52000
529,2862,0,1224,52000
656,2862,0,1102,52000
783,2817,0,1102,52000
909,2780,0,1061,52000
1036,2821,0,1061,52000
1162,2858,0,1224,52000
1288,2862,0,1265,52000
