model,ctx_len,gdn_layer_us,full_attn_us,ffn_us,total_us,tok_per_sec,kv_cache_mb
Qwen3.5-0.8B,1,17310,0,23411,40720,24.56,0.0
Qwen3.5-0.8B,64,17292,0,23502,40794,24.51,0.0
Qwen3.5-0.8B,256,17233,0,23405,40638,24.61,0.0
Qwen3.5-0.8B,512,17240,0,23431,40670,24.59,0.0
Qwen3.5-0.8B,1024,17251,0,23423,40674,24.59,0.0
Qwen3.5-0.8B,2048,17236,0,23435,40671,24.59,0.0
Qwen3.5-0.8B,4096,17271,0,23390,40661,24.59,0.0
