run_id,timestamp,git_sha,manifest_ref,device,engine_gdn,engine_full_attention,model_checkpoint,quantization,context_length,phase,metric_name,metric_component,value,unit,repeat_index,repeat_count,layer_class,notes
rk3588-t4_big_int8_e2e_b738afc,2026-08-07T02:51:44Z,b738afc,results/manifests/rk3588-t4_big_int8_e2e.json,rk3588-t4_big_int8,cpu,cpu,Qwen/Qwen3.5-4B,int8,128,prefill,ttft_seconds,,0.645130,seconds,0,3,all,tokens=128;cluster=big
rk3588-t4_big_int8_e2e_b738afc,2026-08-07T02:51:44Z,b738afc,results/manifests/rk3588-t4_big_int8_e2e.json,rk3588-t4_big_int8,cpu,cpu,Qwen/Qwen3.5-4B,int8,128,decode,decode_tokens_per_sec,,1.540000,tokens_per_sec,0,3,all,tokens=128;cluster=big
rk3588-t4_big_int8_e2e_b738afc,2026-08-07T02:51:44Z,b738afc,results/manifests/rk3588-t4_big_int8_e2e.json,rk3588-t4_big_int8,cpu,cpu,Qwen/Qwen3.5-4B,int8,128,prefill,ttft_seconds,,0.668900,seconds,1,3,all,tokens=128;cluster=big
rk3588-t4_big_int8_e2e_b738afc,2026-08-07T02:51:44Z,b738afc,results/manifests/rk3588-t4_big_int8_e2e.json,rk3588-t4_big_int8,cpu,cpu,Qwen/Qwen3.5-4B,int8,128,decode,decode_tokens_per_sec,,1.550000,tokens_per_sec,1,3,all,tokens=128;cluster=big
rk3588-t4_big_int8_e2e_b738afc,2026-08-07T02:51:44Z,b738afc,results/manifests/rk3588-t4_big_int8_e2e.json,rk3588-t4_big_int8,cpu,cpu,Qwen/Qwen3.5-4B,int8,128,prefill,ttft_seconds,,0.612590,seconds,2,3,all,tokens=128;cluster=big
rk3588-t4_big_int8_e2e_b738afc,2026-08-07T02:51:44Z,b738afc,results/manifests/rk3588-t4_big_int8_e2e.json,rk3588-t4_big_int8,cpu,cpu,Qwen/Qwen3.5-4B,int8,128,decode,decode_tokens_per_sec,,1.550000,tokens_per_sec,2,3,all,tokens=128;cluster=big
