kernel,M,K,N,repeats,p50_us,p95_us,gib_per_s_p50
gdn_delta_rule_matmul,1,128,2048,30,402.819,427.612,2.44
gdn_delta_rule_matmul,64,128,2048,30,28863.497,29151.684,0.05
