run_id,timestamp,git_sha,manifest_ref,device,engine_gdn,engine_full_attention,model_checkpoint,quantization,context_length,phase,metric_name,metric_component,value,unit,repeat_index,repeat_count,layer_class,notes
rk3588-t3_08b_big_int8_sdot_e2e_c880887,2026-08-10T06:47:34Z,c880887,results/manifests/rk3588-t3_08b_big_int8_sdot_e2e.json,rk3588-t3_08b_big_int8_sdot,cpu,cpu,Qwen/Qwen3.5-0.8B,int8,20,prefill,ttft_seconds,,0.039140,seconds,0,3,all,tokens=20;cluster=big
rk3588-t3_08b_big_int8_sdot_e2e_c880887,2026-08-10T06:47:34Z,c880887,results/manifests/rk3588-t3_08b_big_int8_sdot_e2e.json,rk3588-t3_08b_big_int8_sdot,cpu,cpu,Qwen/Qwen3.5-0.8B,int8,20,decode,decode_tokens_per_sec,,25.550000,tokens_per_sec,0,3,all,tokens=20;cluster=big
rk3588-t3_08b_big_int8_sdot_e2e_c880887,2026-08-10T06:47:34Z,c880887,results/manifests/rk3588-t3_08b_big_int8_sdot_e2e.json,rk3588-t3_08b_big_int8_sdot,cpu,cpu,Qwen/Qwen3.5-0.8B,int8,20,prefill,ttft_seconds,,0.039210,seconds,1,3,all,tokens=20;cluster=big
rk3588-t3_08b_big_int8_sdot_e2e_c880887,2026-08-10T06:47:34Z,c880887,results/manifests/rk3588-t3_08b_big_int8_sdot_e2e.json,rk3588-t3_08b_big_int8_sdot,cpu,cpu,Qwen/Qwen3.5-0.8B,int8,20,decode,decode_tokens_per_sec,,25.560000,tokens_per_sec,1,3,all,tokens=20;cluster=big
rk3588-t3_08b_big_int8_sdot_e2e_c880887,2026-08-10T06:47:34Z,c880887,results/manifests/rk3588-t3_08b_big_int8_sdot_e2e.json,rk3588-t3_08b_big_int8_sdot,cpu,cpu,Qwen/Qwen3.5-0.8B,int8,20,prefill,ttft_seconds,,0.038920,seconds,2,3,all,tokens=20;cluster=big
rk3588-t3_08b_big_int8_sdot_e2e_c880887,2026-08-10T06:47:34Z,c880887,results/manifests/rk3588-t3_08b_big_int8_sdot_e2e.json,rk3588-t3_08b_big_int8_sdot,cpu,cpu,Qwen/Qwen3.5-0.8B,int8,20,decode,decode_tokens_per_sec,,25.690000,tokens_per_sec,2,3,all,tokens=20;cluster=big
