kernel,dim1,dim2,dim3,p50_ms,p95_ms,bw_mibs
write_blocking,512B,,,0.0047,0,104.6
read_blocking,512B,,,0.0053,0,93.0
roundtrip_blocking,512B,,,0.0108,0,0
write_blocking,1KB,,,0.0064,0,152.2
read_blocking,1KB,,,0.0055,0,176.2
roundtrip_blocking,1KB,,,0.0117,0,0
write_blocking,5KB_hidden_fp16,,,0.0067,0,727.8
read_blocking,5KB_hidden_fp16,,,0.0061,0,797.1
roundtrip_blocking,5KB_hidden_fp16,,,0.0128,0,0
write_blocking,10KB_hidden_fp32,,,0.0073,0,1339.2
read_blocking,10KB_hidden_fp32,,,0.0064,0,1521.8
roundtrip_blocking,10KB_hidden_fp32,,,0.0137,0,0
write_blocking,50KB,,,0.0125,0,3893.1
read_blocking,50KB,,,0.0114,0,4292.2
roundtrip_blocking,50KB,,,0.0228,0,0
write_blocking,100KB,,,0.0166,0,5873.3
read_blocking,100KB,,,0.0175,0,5580.0
roundtrip_blocking,100KB,,,0.0359,0,0
write_blocking,1MB,,,0.1068,0,9366.8
read_blocking,1MB,,,0.0901,0,11094.8
roundtrip_blocking,1MB,,,0.1966,0,0
n_crossings_16,16,,,0.2374,0,0
