model,tokens,ttft_ms,tok_per_sec_mean,p50_us,p95_us,p99_us,mean_us,gdn_proj_pct,gdn_conv_pct,gdn_decay_pct,gdn_scan_pct,gdn_oproj_pct,full_pct,ffn_pct
Qwen3.5-0.8B,20,125.44,7.97,125432,125760,125760,125448,29.9,0.3,0.0,0.0,8.2,7.5,54.1
Qwen3.5-0.8B,20,125.04,7.99,125111,125396,125396,125145,29.9,0.3,0.0,0.0,8.2,7.5,54.1
