model,prefill_M,ttft_ms,tok_per_sec_prefill,gdn_us,full_us,ffn_us
Qwen3.5-0.8B,8,633.21,12.63,256111,57909,319194
Qwen3.5-0.8B,16,1358.36,11.78,573042,119225,666089
Qwen3.5-0.8B,32,2607.74,12.27,1064461,223752,1319523
Qwen3.5-0.8B,64,5170.67,12.38,2118229,444255,2608185
