model,prefill_M,ttft_ms,tok_per_sec_prefill,gdn_us,full_us,ffn_us
Qwen3.5-4B,8,3166.11,2.53,937357,249056,1979700
Qwen3.5-4B,16,6214.24,2.57,1790344,479633,3944258
Qwen3.5-4B,32,12510.62,2.56,3641429,968040,7901153
Qwen3.5-4B,64,24808.08,2.58,7188682,1907243,15712158
