timestamp_ms,power_in_mw,power_gpu_mw,power_cpu_mw,temp_milliC
28608,3117,0,1230,53000
28734,2912,0,1066,52500
28860,2835,0,1066,53000
28986,2876,0,1066,53000
29113,2835,0,1066,52500
29239,2876,0,1066,53000
29365,2876,0,1107,52500
29491,2958,0,1107,52500
29617,2876,0,1066,53000
29743,2999,0,1107,52500
29869,2876,0,1066,53000
29995,2876,0,1066,53000
