model,tokens,ttft_ms,tok_per_sec_mean,p50_us,p95_us,p99_us,mean_us,gdn_proj_pct,gdn_conv_pct,gdn_decay_pct,gdn_scan_pct,gdn_oproj_pct,full_pct,ffn_pct
Qwen3.5-0.8B,128,135.37,7.68,131091,148493,167000,130130,22.0,1.2,0.1,0.1,10.7,8.4,57.5
Qwen3.5-0.8B,128,117.40,7.65,129538,155801,182171,130682,22.1,1.2,0.1,0.1,10.8,8.7,57.0
Qwen3.5-0.8B,128,135.81,7.59,131785,160443,178727,131801,22.0,1.2,0.1,0.1,10.9,8.6,57.2
